Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               97                  97               97                  97              94                 94              94                 94
010-020          97               97                  97               97                  97              97                 97              97                 97
020-030          96               96                  96               96                  96              96                 96              96                 96
030-040          97               97                  97               97                  97              97                 97              97                 97
040-050          97               33                  97               97                  97              97                 97              97                 97
050-060          97                0                  97               97                  97              97                 97              97                 97
060-070          96                0                  96               96                  96              96                 96              96                 96
070-080          97                0                  97               97                  97              97                 97              97                 97
080-090          27                0                  26               26                  26              26                 26              26                 26
Total           801              420                 800              800                 800             797                797             797                797
